ph,k,na,mg,ca,cl,f,sio2,temp
7.1,5,9,8,43,4,0.03,71,104.7
7.1,44,186,48,251,639,0.04,89,116.6
7.8,4.6,58.7,27.7,91,81.5,0.06,38.2,75.3
7.7,1.5,13.3,7.12,72.4,8.9,0.07,26.4,59.9
6.9,4,6,5,17,2,0.07,54,91.1
7.3,7,21,5,26,4,0.07,58,94.6
7.4,5.6,28.5,2.73,7.8,6.5,0.07,69.6,103.6
7,1.9,11,3.3,16,1.7,0.07,27,60.8
7.5,15,71,14,91,170,0.07,57,93.7
8.1,4.8,11.7,11.1,16.4,1.8,0.07,60.2,96.4
7.7,1.1,10.3,5.43,20.6,1.5,0.08,33.5,69.7
7,4,9,8,35,3,0.08,66,100.9
7.2,8,25,14,46,95,0.08,56,92.9
8.1,1.7,10.1,15.1,39.4,2.9,0.08,17.6,44.5
7.6,12,26,18,53,71,0.09,81,111.5
7.5,8.3,22,22,48,14,0.1,62,97.8
7.1,2.4,12,5.9,25,40,0.1,37,73.9
7,2.9,14,14,26,7.1,0.1,67,101.7
8.1,32.5,486,12,27.9,513,0.1,55.6,92.5
7.2,13,38,14,50,12,0.1,47,84.6
7.9,4.4,14.8,7.29,13.9,7.4,0.1,45.5,83.1
7.5,3.8,14,9.3,28,6.1,0.1,34,70.3
7.4,48,186,50,292,680,0.1,93,119
7.7,3.8,22,16,46,11,0.1,39,76.2
7.5,3.4,26,10,35,47,0.1,35,71.5
6.9,390,19000,1800,1500,35000,0.1,33,69.1
7.5,2.7,18,7.6,31,3.9,0.1,25,57.8
8,3.2,16,16,38,6.7,0.1,33,69.1
7.5,7.7,160,23,52,31,0.1,45,82.6
7.8,5,8.2,7.8,11,0.6,0.1,65,100.2
7.1,3.4,9.7,9.1,17,11,0.1,30,65.1
8.1,2.1,14,6.8,22,4.4,0.1,32,67.8
8.2,3.2,59,3.4,21,24,0.1,19,47.3
7.9,3.5,22,20,80,7.4,0.1,20,49.2
7.1,7.6,20,26,40,12,0.1,63,98.6
7.9,4.1,52,26,69,21,0.1,52,89.3
8.2,43.7,846,1.9,38.9,963,0.1,101.8,124.1
7.9,2.4,12,3.8,21,4.5,0.1,29,63.7
7.5,2.5,24,13,70,17,0.1,30,65.1
7.8,2.7,110,26,75,48,0.1,36,72.8
7.5,4.6,12,18,28,6.1,0.1,58,94.6
7.5,5.9,14,14,25,1.5,0.1,66,100.9
7.7,3.8,63.5,53.9,131,182,0.1,62,97.8
7.6,1.7,14,6.6,23,5.7,0.1,30,65.1
7.8,7.9,53,17,59,44,0.1,62,97.8
7.6,5.8,100,36,114,6.2,0.1,38,75.1
8.6,5.8,42,2.9,9.4,25,0.1,37,73.9
7.5,2.9,19,13,44,6.3,0.1,28,62.3
8.1,39,163,27,71,282,0.1,49,86.5
7.9,23.7,930,1.4,112,1290,0.1,77.7,109.3
7.4,1.3,33,9.3,50,29,0.1,20,49.2
7.9,2.8,23,15,52,8.9,0.1,31,66.4
7,5.6,31,21,33,4.5,0.1,71,104.7
7.7,6.1,28,22,88,24,0.1,52,89.3
8,48.6,798,1.4,54.2,987,0.1,105.3,126
7.5,6.2,19.7,13.3,25.2,14.6,0.1,48.1,85.7
7.3,8.9,35,14,44,46,0.1,60,96.2
7.9,0.7,26,3.9,22,3.9,0.1,35,71.5
7.6,1.1,12,3.4,16,1.5,0.1,28,62.3
7.9,1,25,20,62,5.8,0.1,29,63.7
7.9,4.8,43,26,75,55,0.1,59,95.4
8.4,2.2,17,1.4,8,0.9,0.1,19,47.3
7.8,4.5,21,10,23,7.1,0.1,41,78.4
7.3,8.6,46,50,130,19,0.1,48,85.6
7.8,77,17000,1600,450,6100,0.1,48,85.6
7.9,2.2,23,17,71,14,0.1,45,82.6
7.5,1.2,19,14,64,5.1,0.1,25,57.8
8,0.9,15,7.6,24,2.4,0.1,44,81.6
7.5,0.6,41.7,9.2,47.6,57.3,0.1,22.9,54.3
8.2,0.8,14,0.06,13,1.2,0.1,18,45.3
8.2,0.8,20,2.5,19,1.1,0.1,24,56.2
7.5,2.1,12,5.9,23,3.2,0.1,28,62.3
8.3,1,21,1.7,20,1.1,0.1,27,60.8
8.4,4.1,100,3.8,15,12,0.1,57,93.7
7.5,2.4,14,7.6,25,5.8,0.1,32,67.8
7.5,1.6,5.5,22,56,4.3,0.1,16,41.1
8.7,1.4,28.1,0.883,3.5,1.9,0.1,19.9,49
7.9,6.2,28,7.63,17,7.4,0.11,69.3,103.4
7.6,5.6,30.8,20.4,49,22.5,0.11,55.6,92.5
8.2,6,21.7,9.35,26.4,3.5,0.11,59,95.4
7.5,9,33,3,20,7,0.12,74,106.8
7.5,13,37,14,44,72,0.12,73,106.1
7,5.2,64.3,50.4,194,219,0.13,48,85.6
7.4,3,75,9,30,6,0.13,33,69.1
7.5,4.2,28,10.8,27.6,16.5,0.14,35.5,72.2
7.5,8,42,12,48,9,0.14,51,88.4
6.9,5.5,30.4,29.8,51,11.2,0.15,54.9,91.9
7.3,13,64,10,20,10,0.16,110,128.5
7.4,4.7,20.4,16.7,44.1,8.9,0.17,42.5,80
7.8,4,21.5,10.3,28.2,10,0.17,43.3,80.9
7.5,1.1,13.5,5.28,19.3,2.7,0.17,36.6,73.5
7.2,1.3,129,26,86,62.7,0.18,52.7,90
7.8,3,23.4,3.098,30.8,17.1,0.191,25.2,58.1
8.2,2,33,8.1,15,9,0.2,30,65.1
7.5,3.6,19.6,8.13,19.2,7.1,0.2,37.9,75
7.3,3.7,22,8.2,22,3.1,0.2,73,106.1
7.3,3.2,54,20,64,14,0.2,60,96.2
7.4,3.5,38,11,50,6.6,0.2,52,89.3
7.2,7.1,31,19,46,16,0.2,49,86.5
8.1,4.7,23,5.3,21,6.9,0.2,49,86.5
7.5,7.7,35.5,5.07,19.8,3.3,0.2,64.1,99.5
7.3,16,160,230,230,170,0.2,24,56.2
7.4,5.5,33,38,92,30,0.2,49,86.5
7.4,14,200,85,170,180,0.2,45,82.6
7.5,4,26,11,38,24,0.2,39,76.2
7.8,5.2,26,7.8,26,9.5,0.2,36,72.8
8.3,4.6,30,6.6,13,9.4,0.2,36,72.8
7.7,2.1,24,18,34,7.3,0.2,47,84.6
7.6,3.2,19.7,16.4,45.6,19.2,0.2,35.5,72.2
7.9,2.6,25,5.5,24,3.7,0.2,56,92.9
7.7,3.4,12.4,3.94,16.7,1.2,0.2,27.5,61.6
7.4,1.9,26,9.6,42,16,0.2,37,73.9
7.8,5.5,39,5.2,20,34,0.2,59,95.4
7.7,2.9,23.7,7.8,26.8,6.2,0.2,51,88.4
8.2,5.3,31,3.9,8.9,8,0.2,38,75.1
8.1,2.8,20,5.2,19,4.8,0.2,37,73.9
7.6,3.3,19,14,42,4,0.2,69,103.2
7.7,1.9,37,25,91,72,0.2,20,49.2
7.9,0.7,15,4.5,15,3.4,0.2,26,59.3
7.8,8,75,13,36,62,0.2,68,102.5
7.1,2.1,37,36,120,7,0.2,41,78.4
7.3,2.9,33,22,67.8,18.2,0.2,30.1,65.2
7.3,3.8,20.5,5.13,18.6,6.2,0.2,23.5,55.3
8,4.3,44,4.1,22,27,0.2,33,69.1
7.8,2.4,15,6.6,24,4.6,0.2,32,67.8
7.7,2.3,7.7,34,60,11,0.2,20,49.2
7.3,7.6,34,9.7,40,12,0.2,52,89.3
7.5,1.2,21.7,4.36,20.2,4,0.2,31.7,67.4
7.5,4,29,9.3,36,22,0.2,26,59.3
7.2,24,202,43,68,360,0.2,79,110.2
7.5,0.9,9.5,4.1,8.9,1.1,0.2,40,77.3
7.8,9.4,48,2.9,11,3.1,0.2,73,106.1
8.4,5.2,33,3.2,8.6,8.1,0.2,30,65.1
7.6,6.6,83,9.2,34,73,0.2,61,97
7.4,21,160,41,107,264,0.2,88,116
8.4,2.6,67,21,75,6.1,0.2,54,91.1
7.8,1.6,30,3.3,41,12,0.2,31,66.4
8,8.7,59,16,55,45,0.2,59,95.4
8,3.1,20,9.5,33,1.8,0.2,31,66.4
7.4,2.6,56,24,122,20,0.2,54,91.1
8.1,3.5,33,4.2,8.9,7.9,0.2,35,71.5
7.7,2.9,17.9,12.3,34.3,10.8,0.2,28.7,63.3
7.6,5.1,44,100,160,130,0.2,20,49.2
7.6,19,230,180,370,240,0.2,25,57.8
7.8,3.9,17,12,35,7.2,0.2,37,73.9
7.3,47,530,430,530,430,0.2,27,60.8
8.2,2.1,37,24,94,15,0.2,36,72.8
7.7,5.4,10.3,9.09,16.4,1.2,0.2,63.3,98.9
7.8,8.4,30,32,400,24,0.2,31,66.4
7.9,2.8,21,10,38,11,0.2,36,72.8
7.6,2.6,12,11,32,7.4,0.2,37,73.9
7.7,2,8.2,13.4,67.5,5.8,0.2,19.1,47.5
7.8,6.7,24.8,8.39,53,35.4,0.2,59.9,96.1
7.7,2.5,23,6.3,64,9.6,0.2,24,56.2
7.9,1.9,39,18,51,16,0.2,44,81.6
7.9,8,510,29,100,300,0.2,39,76.2
7.6,2.4,15.4,4.86,31.3,1.8,0.2,22.2,53.2
8.2,1.4,37,5.4,15,8.4,0.2,27,60.8
7.5,3.8,83,14,52,8.7,0.2,45,82.6
8,4.8,30,10,40,13,0.2,67,101.7
8.1,2.6,26,1.2,4.6,2.1,0.2,53,90.2
8,5.5,21,13,63,11,0.2,69,103.2
7.7,2.7,87,16,89,120,0.2,22,52.8
7.9,1.8,26,12,50,5.8,0.2,27,60.8
8,5,21,10,38,12,0.2,54,91.1
7.4,2.3,20.3,9.11,46.3,7.2,0.2,27.5,61.6
8.2,3.5,99,5.5,25,85,0.2,53,90.2
8,8.4,33,24,54,12,0.2,63,98.6
7.2,4.2,29,20,71,7,0.2,22,52.8
8.1,4,34,15,46,48,0.2,58,94.6
7.5,1.6,6.8,27,48,7.4,0.2,17,43.3
8.3,27,270,4.6,5.5,45,0.2,41,78.4
7.4,10,54,54,130,67,0.2,65,100.2
7.5,3.9,26,48,87,40,0.2,17,43.3
8.2,4.3,14,9.4,44,29,0.2,61,97
7.1,3.8,23,11,32,32,0.2,24,56.2
8,2,25,26,43,28,0.2,59,95.4
7.4,6.4,41,23,120,51,0.2,50,87.5
7.3,6,16,11,26,3.5,0.2,57,93.7
8,3,19.1,11.9,34,16.1,0.2,33.2,69.3
8.4,5.6,33.5,3.37,7.1,7.6,0.2,37.6,74.6
7.5,5.4,290,22,48,56,0.2,55,92
7.7,5.3,44,12,44,12,0.2,41,78.4
8.2,3.1,38.7,6.99,12.2,15,0.22,30.7,66
8.1,1.9,36.5,5.65,12.4,9.6,0.22,33.2,69.3
7.9,7.2,76,6.35,10.3,31.4,0.23,62.2,98
7.5,15,51,15,108,184,0.23,60,96.2
7,1.1,69.7,38.3,141,26.9,0.23,49.2,86.7
7.9,4.7,53.4,7.67,19.9,20.2,0.23,74,106.8
7.7,4.7,49.9,11.6,50.4,58.9,0.24,63.1,98.7
7.8,7.2,35.7,5.2,17.5,13.3,0.27,28.5,63
7.1,1.5,26.9,18.472,66.9,17.3,0.277,25.7,58.8
7.9,5.7,48.4,8.73,20.2,10.1,0.29,50.3,87.8
7.9,1.4,14.4,13.5,45.2,7.2,0.29,18,45.3
8,3.8,19,15,61,5.3,0.3,32,67.8
7.6,3.9,42.2,5.04,17.6,7.9,0.3,59.4,95.7
8.8,8.3,200,0.61,2.9,14,0.3,39,76.2
7.4,8.3,47,99,230,77,0.3,22,52.8
8.1,14,47,5,19,13,0.3,47,84.6
7.4,7.1,46,65,130,44,0.3,21,51
7.6,3.9,22,4.9,22,15,0.3,52,89.3
7.5,31,313,46,63,511,0.3,113,130.1
7.6,1.2,20,7.1,23,3.4,0.3,52,89.3
8.1,4.9,49,1.37,7.1,6.5,0.3,58,94.6
7.3,1.9,14,5.2,15,8.5,0.3,31,66.4
7.1,9.5,100,14,72,49,0.3,37,73.9
7.8,4.9,21,5.7,24,6.5,0.3,44,81.6
7.5,7.6,100,54,110,100,0.3,22,52.8
7.5,14,160,4.6,10,160,0.3,102,124.2
7.8,23,140,140,170,160,0.3,44,81.6
7.5,3.6,43,34,92,18,0.3,53,90.2
7.3,6.1,110,33,100,39,0.3,30,65.1
7.7,3.2,31.9,7.4,30.6,8.6,0.3,33.5,69.7
7.2,8.1,140,30,110,58,0.3,31,66.4
8.3,1.4,25,0.9,17,3,0.3,33,69.1
8.1,24,20,24,37,13,0.3,49,86.5
7.9,3.8,25,11,35,6.4,0.3,35,71.5
7.8,4.2,59,19,41,8.2,0.3,57,93.7
7.7,7.6,140,150,170,110,0.3,25,57.8
7.8,3.1,78.5,9.48,27.8,9.4,0.3,58.9,95.3
7.3,6.6,81.4,16.7,35.4,41.7,0.3,46.9,84.5
7.9,5.7,30,9.8,51,16,0.3,29,63.7
6.9,4.7,20,15,40,34,0.3,37,73.9
8.4,2.6,42,2.2,30,16,0.3,48,85.6
8,9.1,70,0.53,4,9.3,0.3,41,78.4
7.6,1.2,20,2.9,15,6,0.3,32,67.8
7.5,8,23.8,26.2,58.5,36.9,0.3,31.2,66.7
8,4.4,17,9.2,20,2.3,0.3,50,87.5
7.9,8.9,22,8.5,46,12,0.3,68,102.5
7.2,7.7,72,20,86,63,0.3,21,51
7.9,7.4,262,12,19,313,0.3,115,131.1
7.3,2.6,22,8.8,29,1.6,0.3,35,71.5
7.8,6.7,15.1,6.63,23.2,4.5,0.3,24.3,56.6
7.8,12,170,190,240,170,0.3,22,52.8
7.5,6.1,66,22,84,35,0.3,34,70.3
7.8,12,140,9.4,44,160,0.3,63,98.6
7.9,6.5,60,19,56,58,0.3,51,88.4
7.5,10.9,283,41,192,168,0.3,31.1,66.6
7.7,3.2,210,72,75,370,0.3,21,51
8,1.4,15,2.4,9.5,0.4,0.3,25,57.8
7.4,17,160,240,230,190,0.3,24,56.2
7.3,8,30,77,170,48,0.3,25,57.8
7.8,4,28,26,46,12,0.3,21,51
8,17,43,8.9,29,14,0.3,45,82.6
7.6,2.9,99,38,200,36,0.3,41,78.4
7.4,4.4,18,43,89,20,0.3,16,41.1
7.8,1.7,7.3,24,38,3.8,0.3,20,49.2
8.1,1.2,20,4.5,21,1.5,0.3,23,54.5
8.1,5.3,51,18,37,16,0.3,59,95.4
7.8,3.7,29,5.9,31,5.4,0.3,24,56.2
8.1,4,146,66.759,99.2,289,0.3,26.1,59.5
7.8,1.6,8.9,24,37,4.2,0.3,19,47.3
7.4,4.9,68,24,110,26,0.3,33,69.1
7.6,4.1,13,56,140,10,0.3,15,38.8
8.5,5.2,61,0.19,0.8,6.4,0.3,38,75.1
9,1,61,0.45,1.1,8.4,0.3,29,63.7
7.6,4.8,55,13,26,1,0.31,28,62.3
7.7,1.4,19.7,5.7,21.4,3.4,0.32,40.2,77.6
8,5.3,24.7,7.66,30.8,25.1,0.33,51.1,88.5
7.7,4,8.4,17,49,5.1,0.334,24,56.2
7.9,1.2,157,2.73,12.4,25.4,0.36,54.8,91.8
7.3,4.8,57,15.4,96.7,17.3,0.4,40.3,77.7
7,2.5,27,7.7,32,16,0.4,28,62.3
7.5,12,32,4,39,38,0.4,73,106.1
7.4,1.2,30,4.8,19,9.9,0.4,37,73.9
7.9,7,94,16,55,35,0.4,39,76.2
7.6,6.4,21,12,26,4.2,0.4,48,85.6
8.3,9.4,94,2.7,3,12,0.4,109,128
7.2,5.5,27,14,37,18,0.4,51,88.4
7.7,10,80,15,81,31,0.4,38,75.1
7.5,1.6,39,7.8,29,15,0.4,30,65.1
7.8,1.4,55,6.9,30,15,0.4,33,69.1
7.9,3.4,140,6.8,23,44,0.4,32,67.8
8.2,34,760,15,10,180,0.4,34,70.3
7.8,4.5,34,16,66,32,0.4,54,91.1
7.8,20,290,170,200,890,0.4,55,92
7.6,150,2800,120,170,4600,0.4,39,76.2
8,6.6,76,1.7,4.2,6.7,0.4,55,92
7.5,4.5,17.4,19.3,38.4,6,0.4,36.6,73.5
7.9,10,31,9.2,25,14,0.4,75,107.5
7.9,5.4,8.5,8,30,3.5,0.4,27,60.8
8,3.4,15,20,51,10,0.4,25,57.8
8,29.1,1390,14.1,20.9,1950,0.4,47.6,85.2
7.9,4.8,310,9.1,14,100,0.4,27,60.8
7.8,5.2,31,15,82,25,0.4,47,84.6
7.7,6,136,8.3,42.8,129,0.4,56.9,93.6
8.8,5.2,53,2.3,6.5,10,0.4,33,69.1
8.5,13,147,2.2,30,128,0.4,111,129.1
7.8,6.8,46,12,61,34,0.4,30,65.1
8,16,240,19,64,270,0.4,55,92
7.9,3.6,14,18,29,9.8,0.4,19,47.3
8,8,50,5.8,26,22,0.4,85,114.1
7.8,7,120,6.4,37,46,0.4,24,56.2
7.3,3.4,55,15,69,38,0.4,57,93.7
8.9,3.1,97.8,0.068,0.6,10,0.4,33.9,70.2
8.5,2.5,54.7,0.52,7.5,10.1,0.42,47.4,85
7.5,3.1,26.5,6.67,44.1,14,0.42,43.6,81.2
7.2,13.8,138,28.5,138,54.2,0.42,57.1,93.8
7.5,19.3,97.8,26.634,74.2,128.7,0.427,21.6,52.1
7.2,17,210,2,6,132,0.45,82,112.2
7.7,1.4,16.4,7.65,24.6,5.4,0.48,55.8,92.7
7.5,13,47,11,56,19,0.5,51,88.4
7.4,3.8,55,8.4,30,14,0.5,30,65.1
7.8,4.5,38,7,27,38,0.5,44,81.6
7.3,11,86,63,140,39,0.5,48,85.6
7.7,8.8,30,12,43,19,0.5,50,87.5
7.7,2.8,42,15,63,14,0.5,40,77.3
8,5,22,3,22,6.8,0.5,58,94.6
7.6,4.1,27,32,40,17,0.5,26,59.3
7.1,15,35,13,45,27,0.5,50,87.5
7.5,1.6,34,10,33,15,0.5,51,88.4
7.7,7.1,38,5.9,33,36,0.5,54,91.1
8,1.7,29,2.8,30,10,0.5,47,84.6
7.6,5.9,105,15.9,69.4,102,0.5,71.4,104.9
8.5,10,270,3.5,14,77,0.5,32,67.8
8.6,8,60.5,0.427,3.3,5.7,0.5,43.9,81.5
8.5,8,60.1,0.399,4.8,7.2,0.5,48,85.6
8.6,13,230,3.9,3.2,17,0.5,35,71.5
7.7,2,31,10,57,13,0.5,55,92
7.4,220,15000,1500,450,20000,0.5,43,80.6
9,1.7,85,0.05,0.1,9,0.5,35,71.5
7.3,23,160,260,210,160,0.5,45,82.6
7.9,0.8,7.1,22,53,3,0.5,16,41.1
8.1,8.4,100,11,40,76,0.5,31,66.4
7.7,4.9,210,48,170,190,0.5,46,83.6
8,13,100,7.1,25,90,0.5,67,101.7
7.5,1100,30000,1500,490,34000,0.5,14,36.4
7.5,0.9,21,1.2,9.3,8,0.5,22,52.8
8.2,7.6,253,1.59,23.8,317,0.5,47.5,85.1
8.9,0.4,49,0.12,5.6,13,0.5,18,45.3
7.9,6.4,101,19,46,124,0.5,39,76.2
7.3,7.6,43,27,51,33,0.5,47,84.6
7.5,10,150,7.7,22,42,0.5,21,51
7.6,9.1,39.2,31.8,84.6,37.9,0.55,66.6,101.4
7.8,6.9,235.7,48.7,191,469,0.57,35.9,72.7
7.4,111,212,1,160,45,0.6,106,126.4
7.5,11,39,20,59,14,0.6,28,62.3
7.9,3.6,58,5.62,12.3,16.4,0.6,48.8,86.4
7.2,10,69,20,39,6,0.6,18,45.3
8.2,0.9,28,1.1,15,4.7,0.6,27,60.8
7.4,3.5,18,20,45,12,0.6,26,59.3
7.6,11,100,23,69,25,0.6,44,81.6
8.4,2.1,100,0.04,0.2,11,0.6,36,72.8
